DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,LOG_RETURNS
1999-01-04,7.25,7.5,7.25,7.5,235900,
1999-01-05,7.375,7.75,7.375,7.65625,65000,0.02061928720273561
1999-01-06,7.5,10.25,7.5,9.625,209200,0.22884157242884745
1999-01-07,9.25,9.25,8.25,8.25,128900,-0.15415067982725836
1999-01-08,8.625,8.625,7.875,8.0,126500,-0.03077165866675366
1999-01-11,7.875,8.125,7.875,8.125,27500,0.015504186535965254
1999-01-12,8.125,8.375,8.0625,8.125,68800,0.0
1999-01-13,7.75,8.375,7.75,8.0,17500,-0.015504186535965199
1999-01-14,7.875,8.0625,7.875,7.9375,47100,-0.007843177461025893
1999-01-15,7.9375,8.0,7.9375,7.96875,16300,0.003929278139889557
1999-01-19,7.9375,8.0,7.8125,7.8125,144900,-0.019802627296179754
1999-01-20,7.875,8.0,7.75,7.8125,73300,0.0
1999-01-21,7.875,7.9375,7.25,7.25,70400,-0.07472354619593642
1999-01-22,7.25,7.25,6.875,7.0,52800,-0.03509131981127006
1999-01-25,6.875,7.125,6.5,6.5625,63300,-0.06453852113757118
1999-01-26,6.5,7.0,6.5,6.875,54000,0.04652001563489291
1999-01-27,6.875,7.0,6.75,6.8125,11300,-0.009132483563272474
1999-01-28,7.125,7.625,6.875,7.625,97300,0.11267316250411281
1999-01-29,7.5,7.625,7.0,7.0625,101600,-0.07663322602091596
1999-02-01,7.5,7.5,6.875,7.125,23100,0.008810629682154906
1999-02-02,7.0625,7.5,6.875,7.5,28900,0.05129329438755048
1999-02-03,7.0,7.375,6.9375,7.0625,23700,-0.06010392406970544
1999-02-04,7.0,7.25,6.9375,7.0,53300,-0.00888894741724604
1999-02-05,7.25,7.25,6.8125,7.125,174800,0.017699577099400857
1999-02-08,7.125,7.25,6.75,7.25,22400,0.01739174271186924
1999-02-09,7.125,7.125,6.75,7.0,60300,-0.03509131981127006
1999-02-10,7.0,7.1875,6.875,7.0,72200,0.0
1999-02-11,6.875,7.375,6.875,7.125,7600,0.017699577099400857
1999-02-12,6.875,7.25,6.5,6.5,40200,-0.09180754925312286
1999-02-16,6.5,6.75,6.25,6.25,28100,-0.03922071315328127
1999-02-17,6.5,6.875,6.25,6.25,12100,0.0
1999-02-18,6.25,6.28125,6.0,6.125,37200,-0.020202707317519466
1999-02-19,6.125,6.6875,6.0625,6.6875,44900,0.08786135579133425
1999-02-22,6.6875,6.6875,6.375,6.375,20900,-0.0478560211776351
1999-02-23,6.375,6.625,6.375,6.4375,117200,0.009756174945364656
1999-02-24,6.625,6.625,6.25,6.5,22700,0.00966191091173689
1999-02-25,6.5,6.5,6.25,6.25,21200,-0.03922071315328127
